faculty,college,department,url
Xiaojun (Ashley) Geng, Engineering & Computer Science, Department of Electrical Engineering, https://www.csun.edu/engineering-computer-science/electrical-computer-engineering/faculty-staff
Xiyi Hang, Engineering & Computer Science, Department of Electrical Engineering, https://www.csun.edu/engineering-computer-science/electrical-computer-engineering/faculty-staff
Ichiro Hashimoto, Engineering & Computer Science, Department of Electrical Engineering, https://www.csun.edu/engineering-computer-science/electrical-computer-engineering/faculty-staff
George K Law, Engineering & Computer Science, Department of Electrical Engineering, https://www.csun.edu/engineering-computer-science/electrical-computer-engineering/faculty-staff
Ronald W Mehler, Engineering & Computer Science, Department of Electrical Engineering, https://www.csun.edu/engineering-computer-science/electrical-computer-engineering/faculty-staff
Shahnam Mirzaei, Engineering & Computer Science, Department of Electrical Engineering, https://www.csun.edu/engineering-computer-science/electrical-computer-engineering/faculty-staff
Ignacio B Osorno, Engineering & Computer Science, Department of Electrical Engineering, https://www.csun.edu/engineering-computer-science/electrical-computer-engineering/faculty-staff
Jack Ou, Engineering & Computer Science, Department of Electrical Engineering, https://www.csun.edu/engineering-computer-science/electrical-computer-engineering/faculty-staff
Matthew M Radmanesh, Engineering & Computer Science, Department of Electrical Engineering, https://www.csun.edu/engineering-computer-science/electrical-computer-engineering/faculty-staff
S K Ramesh, Engineering & Computer Science, Department of Electrical Engineering, https://www.csun.edu/engineering-computer-science/electrical-computer-engineering/faculty-staff
Ramin Roosta, Engineering & Computer Science, Department of Electrical Engineering, https://www.csun.edu/engineering-computer-science/electrical-computer-engineering/faculty-staff
Deborah K Van alphen, Engineering & Computer Science, Department of Electrical Engineering, https://www.csun.edu/engineering-computer-science/electrical-computer-engineering/faculty-staff
Afshin Amini, Engineering & Computer Science, Department of Electrical Engineering, https://www.csun.edu/engineering-computer-science/electrical-computer-engineering/faculty-staff
Ahmad Bekir, Engineering & Computer Science, Department of Electrical Engineering, https://www.csun.edu/engineering-computer-science/electrical-computer-engineering/faculty-staff
Vijay J Bhatt, Engineering & Computer Science, Department of Electrical Engineering, https://www.csun.edu/engineering-computer-science/electrical-computer-engineering/faculty-staff
Vaughn P Cable, Engineering & Computer Science, Department of Electrical Engineering, https://www.csun.edu/engineering-computer-science/electrical-computer-engineering/faculty-staff
Somnath Chattopadhyay, Engineering & Computer Science, Department of Electrical Engineering, https://www.csun.edu/engineering-computer-science/electrical-computer-engineering/faculty-staff
Austin Chen, Engineering & Computer Science, Department of Electrical Engineering, https://www.csun.edu/engineering-computer-science/electrical-computer-engineering/faculty-staff
Sequare K Daniel-Berhe, Engineering & Computer Science, Department of Electrical Engineering, https://www.csun.edu/engineering-computer-science/electrical-computer-engineering/faculty-staff
James A Flynn, Engineering & Computer Science, Department of Electrical Engineering, https://www.csun.edu/engineering-computer-science/electrical-computer-engineering/faculty-staff
Shahryar Ghidari, Engineering & Computer Science, Department of Electrical Engineering, https://www.csun.edu/engineering-computer-science/electrical-computer-engineering/faculty-staff
Sina M. Aboutorabi, Engineering & Computer Science, Department of Electrical Engineering, https://www.csun.edu/engineering-computer-science/electrical-computer-engineering/faculty-staff
Neda Khavari, Engineering & Computer Science, Department of Electrical Engineering, https://www.csun.edu/engineering-computer-science/electrical-computer-engineering/faculty-staff
Franco Mikhailidis, Engineering & Computer Science, Department of Electrical Engineering, https://www.csun.edu/engineering-computer-science/electrical-computer-engineering/faculty-staff
Farahnaz A Nezhad, Engineering & Computer Science, Department of Electrical Engineering, https://www.csun.edu/engineering-computer-science/electrical-computer-engineering/faculty-staff
Vahid R Riasati, Engineering & Computer Science, Department of Electrical Engineering, https://www.csun.edu/engineering-computer-science/electrical-computer-engineering/faculty-staff
Soraya A Roosta, Engineering & Computer Science, Department of Electrical Engineering, https://www.csun.edu/engineering-computer-science/electrical-computer-engineering/faculty-staff
