faculty,college,department,url
Bernard Kleiner, Michael D. Eisner College of Education, Department of Educational Leadership & Policy Studies, https://www.csun.edu/eisner-education/educational-leadership-policy-studies/directory
Carol Kozeracki, Michael D. Eisner College of Education, Department of Educational Leadership & Policy Studies, https://www.csun.edu/eisner-education/educational-leadership-policy-studies/directory
Jennifer Lozano, Michael D. Eisner College of Education, Department of Educational Leadership & Policy Studies, https://www.csun.edu/eisner-education/educational-leadership-policy-studies/directory
Joan Lucid, Michael D. Eisner College of Education, Department of Educational Leadership & Policy Studies, https://www.csun.edu/eisner-education/educational-leadership-policy-studies/directory
Thomas R Mccambridge, Michael D. Eisner College of Education, Department of Educational Leadership & Policy Studies, https://www.csun.edu/eisner-education/educational-leadership-policy-studies/directory
Raquel Michel, Michael D. Eisner College of Education, Department of Educational Leadership & Policy Studies, https://www.csun.edu/eisner-education/educational-leadership-policy-studies/directory
Petronella K Montante, Michael D. Eisner College of Education, Department of Educational Leadership & Policy Studies, https://www.csun.edu/eisner-education/educational-leadership-policy-studies/directory
Lawrence H Moore, Michael D. Eisner College of Education, Department of Educational Leadership & Policy Studies, https://www.csun.edu/eisner-education/educational-leadership-policy-studies/directory
Amita Naganand, Michael D. Eisner College of Education, Department of Educational Leadership & Policy Studies, https://www.csun.edu/eisner-education/educational-leadership-policy-studies/directory
Marco Nava, Michael D. Eisner College of Education, Department of Educational Leadership & Policy Studies, https://www.csun.edu/eisner-education/educational-leadership-policy-studies/directory
Sharon G Oh, Michael D. Eisner College of Education, Department of Educational Leadership & Policy Studies, https://www.csun.edu/eisner-education/educational-leadership-policy-studies/directory
Michele A Parsons, Michael D. Eisner College of Education, Department of Educational Leadership & Policy Studies, https://www.csun.edu/eisner-education/educational-leadership-policy-studies/directory
Drew Passalacqua, Michael D. Eisner College of Education, Department of Educational Leadership & Policy Studies, https://www.csun.edu/eisner-education/educational-leadership-policy-studies/directory
Monte Perez, Michael D. Eisner College of Education, Department of Educational Leadership & Policy Studies, https://www.csun.edu/eisner-education/educational-leadership-policy-studies/directory
Merle E Price, Michael D. Eisner College of Education, Department of Educational Leadership & Policy Studies, https://www.csun.edu/eisner-education/educational-leadership-policy-studies/directory
William Purdy, Michael D. Eisner College of Education, Department of Educational Leadership & Policy Studies, https://www.csun.edu/eisner-education/educational-leadership-policy-studies/directory
Rosalind L Raby, Michael D. Eisner College of Education, Department of Educational Leadership & Policy Studies, https://www.csun.edu/eisner-education/educational-leadership-policy-studies/directory
Robert A Samples, Michael D. Eisner College of Education, Department of Educational Leadership & Policy Studies, https://www.csun.edu/eisner-education/educational-leadership-policy-studies/directory
